iter	Passed	Remaining
867	2017	306
868	2019	304
869	2021	302
870	2023	299
871	2026	297
872	2028	295
873	2030	292
874	2033	290
875	2035	288
876	2037	285
877	2039	283
878	2042	281
879	2044	278
880	2046	276
881	2049	274
882	2051	271
883	2053	269
884	2055	267
885	2057	264
886	2060	262
887	2062	260
888	2064	257
889	2067	255
890	2069	253
891	2071	250
892	2073	248
893	2076	246
894	2078	243
895	2080	241
896	2083	239
897	2085	236
898	2087	234
899	2089	232
900	2092	229
901	2094	227
902	2096	225
903	2099	222
904	2101	220
905	2103	218
906	2105	215
907	2108	213
908	2110	211
909	2112	208
910	2114	206
911	2117	204
912	2120	202
913	2122	199
914	2124	197
915	2126	195
916	2129	192
917	2131	190
918	2134	188
919	2136	185
920	2139	183
921	2141	181
922	2143	178
923	2146	176
924	2148	174
925	2150	171
926	2152	169
927	2154	167
928	2157	164
929	2159	162
930	2161	160
931	2163	157
932	2166	155
933	2168	153
934	2170	150
935	2173	148
936	2175	146
937	2177	143
938	2179	141
939	2182	139
940	2184	136
941	2186	134
942	2189	132
943	2191	129
944	2193	127
945	2195	125
946	2198	123
947	2200	120
948	2202	118
949	2205	116
950	2207	113
951	2209	111
952	2212	109
953	2214	106
954	2216	104
955	2219	102
956	2221	99
957	2224	97
958	2226	95
959	2228	92
960	2231	90
961	2233	88
962	2236	85
963	2238	83
964	2240	81
965	2243	78
966	2245	76
967	2247	74
968	2250	71
969	2252	69
970	2254	67
971	2256	65
972	2259	62
973	2261	60
974	2263	58
975	2265	55
976	2268	53
977	2270	51
978	2272	48
979	2274	46
980	2277	44
981	2279	41
982	2282	39
983	2284	37
984	2286	34
985	2288	32
986	2291	30
987	2293	27
988	2295	25
989	2298	23
990	2300	20
991	2302	18
992	2304	16
993	2307	13
994	2310	11
995	2312	9
996	2315	6
997	2317	4
998	2319	2
999	2322	0
